url	note
https://scicomp.aalto.fi/triton/usage/ai-agents.html	AI Agents on HPC policy
https://scicomp.aalto.fi/triton/apps/vscode.html	VS Code / IDE warnings
https://scicomp.aalto.fi/triton/tut/connecting.html	SSH / code.triton
https://scicomp.aalto.fi/help/garage.html	SciComp garage
https://scicomp.aalto.fi/triton/ref/	Slurm / modules quick reference
